anio,plazo,pais,tipo_credito,giro,tipo_poliza,moneda,forma_venta,numero_polizas,prima_emitida,prima_retenida,prima_devengada,suma_asegurada,comision_directa
2015,7,E.U.A.,Exportacion,Comercio al por mayor de alimentos y abarrotes,Global,Extranjera,Agentes Persona Moral,2,1521463,420914,262586,577263923.0,228219
2015,14,No aplica (interno),Interno,Otras industrias manufactureras,Global,Nacional,Fuerza de Venta Interna o Casa Matriz,2,234971,63780,52641,1305505.0,0
2015,15,No aplica (interno),Interno,Comercio al por mayor de electrodomesticos menores y aparatos d,Global,Nacional,Fuerza de Venta Interna o Casa Matriz,1,28800,7920,3558,1.0,0
2015,15,No aplica (interno),Interno,Fabricacion de accesorios de iluminacion,Global,Nacional,Fuerza de Venta Interna o Casa Matriz,1,181500,49912,22426,1.0,0
2015,15,Pais no Especificado,Exportacion,Fabricacion de accesorios de iluminacion,Global,Extranjera,Fuerza de Venta Interna o Casa Matriz,1,18992,5222,3461,33.0,0
2015,15,Pais no Especificado,Mixto,Fabricacion de partes para vehiculos automotores,Global,Extranjera,Fuerza de Venta Interna o Casa Matriz,3,1217876,334916,147341,174.0,0
2015,18,No aplica (interno),Interno,Comercio al por mayor de alimentos y abarrotes,Global,Nacional,Agentes Persona Moral,1,71250,19593,4616,1.0,12468
2015,19,E.U.A.,Mixto,Comercio al por mayor de bebidas y tabaco,Global,Nacional,Agentes Persona Fisica,2,429318,118061,61289,214925502.0,42931
2015,19,No aplica (interno),Mixto,Comercio al por mayor de bebidas y tabaco,Global,Nacional,Agentes Persona Fisica,2,550533,151396,78594,275607871.0,55053
2015,20,No aplica (interno),Interno,Cultivo de hortalizas,Global,Nacional,Agentes Persona Fisica,2,84677,23286,16883,2.0,2040
2015,21,E.U.A.,Exportacion,Comercio al por mayor de alimentos y abarrotes,Global,Extranjera,Agentes Persona Moral,2,358885,98693,51023,840859.0,53832
2015,25,No aplica (interno),Interno,Comercio al por mayor de materias primas para la industria,Global,Nacional,Agentes Persona Fisica,1,100000,27500,452,1.0,17500
2015,28,Costa Rica,Exportacion,Otras industrias manufactureras,Global,Extranjera,Fuerza de Venta Interna o Casa Matriz,2,8525,2278,1250,4175919.0,0
2015,28,E.U.A.,Exportacion,Otras industrias manufactureras,Global,Extranjera,Fuerza de Venta Interna o Casa Matriz,2,123762,33024,31680,151769638.0,0
