anio,plazo,tipo_insolvencia,entidad,pais,tipo_credito,giro,tipo_poliza,moneda,forma_venta,numero_siniestros,monto_siniestro,monto_pagado,monto_deducible,monto_coaseguros,gastos_ajuste,salvamentos,monto_recuperacion,recuperacion_reaseguro
2015,1,Mora prolongada,Puebla,No aplica (interno),Interno,Fabricacion de productos de plastico,Global,Extranjera,Agentes Persona Fisica,1,0,0,0,0,7460,0,,
2015,5,Mora prolongada,Distrito Federal,No aplica (interno),Interno,Otras industrias alimentarias,Global,Nacional,Fuerza de Venta Interna o Casa Matriz,1,-24242,0,0,0,3124,0,,
2015,7,Insolvencia de hecho,Estado de Mexico,No aplica (interno),Interno,"Comercio al por menor de combustibles, aceites y grasas lubrica",Global,Nacional,Agentes Persona Fisica,2,0,0,0,0,157241,425880,,
2015,7,Mora prolongada,Distrito Federal,No aplica (interno),Interno,Otras industrias alimentarias,Global,Nacional,Fuerza de Venta Interna o Casa Matriz,1,-32612,0,0,0,0,0,,
2015,7,Mora prolongada,Sonora,No aplica (interno),Interno,Otro producto al Comercio al por mayor,Global,Nacional,Directo,1,0,0,0,0,522,0,,
2015,8,Insolvencia de hecho,Distrito Federal,No aplica (interno),Interno,Otras industrias alimentarias,Global,Nacional,Fuerza de Venta Interna o Casa Matriz,1,5144,5144,0,571,0,0,,
2015,8,Mora prolongada,Distrito Federal,No aplica (interno),Interno,Otras industrias alimentarias,Global,Nacional,Fuerza de Venta Interna o Casa Matriz,5,188088,246798,0,26086,0,105796,,
2015,8,Mora prolongada,Estado de Mexico,No aplica (interno),Interno,Otras industrias alimentarias,Global,Nacional,Fuerza de Venta Interna o Casa Matriz,1,25778,25778,0,2864,0,0,,
2015,8,Mora prolongada,Yucatan,No aplica (interno),Mixto,Fabricacion de otros productos quimicos,Global,Nacional,Fuerza de Venta Interna o Casa Matriz,1,10860,0,0,0,0,0,,
2015,9,Mora prolongada,Guanajuato,No aplica (interno),Interno,"Comercio al por menor de combustibles, aceites y grasas lubrica",Global,Nacional,Agentes Persona Fisica,1,0,0,0,0,4060,0,,
2015,9,Mora prolongada,Hidalgo,No aplica (interno),Mixto,Fabricacion de otros productos quimicos,Global,Extranjera,Fuerza de Venta Interna o Casa Matriz,1,201896,0,0,0,0,0,,
2015,10,Mora prolongada,Estado de Mexico,No aplica (interno),Mixto,"Industrias de metales no ferrosos, excepto aluminio",Global,Extranjera,Agentes Persona Fisica,1,-412,0,0,0,0,0,,
2015,10,Mora prolongada,Morelos,No aplica (interno),Interno,"Fabricacion de celulosa, papel y carton",Global,Nacional,Fuerza de Venta Interna o Casa Matriz,1,0,0,0,0,23161,153000,,
2015,15,Insolvencia de hecho,Distrito Federal,No aplica (interno),Interno,Otras industrias manufactureras,Global,Nacional,Agentes Persona Fisica,1,78116,78116,0,8679,0,0,,
2015,15,Insolvencia de hecho,Guerrero,No aplica (interno),Interno,"Comercio al por menor de combustibles, aceites y grasas lubrica",Global,Nacional,Agentes Persona Fisica,1,12695,0,0,0,0,0,,
2015,15,Insolvencia de hecho,Nuevo Leon,No aplica (interno),Interno,Fabricacion de productos de hierro y acero de material comprado,Global,Nacional,Agentes Persona Fisica,1,33575,0,0,0,0,0,,
2015,15,Mora prolongada,Chiapas,No aplica (interno),Interno,Elaboracion de productos lacteos,Global,Nacional,Agentes Persona Moral,1,0,0,0,0,66412,0,,
2015,15,Mora prolongada,Chiapas,No aplica (interno),Mixto,Otras industrias alimentarias,Global,Nacional,Agentes Persona Moral,1,-360000,0,0,0,0,0,,
2015,15,Mora prolongada,Coahuila,No aplica (interno),Interno,Elaboracion de productos lacteos,Global,Nacional,Agentes Persona Moral,1,200051,0,0,0,0,0,,
2015,15,Mora prolongada,Distrito Federal,No aplica (interno),Interno,"Comercio al por menor de combustibles, aceites y grasas lubrica",Global,Nacional,Agentes Persona Fisica,3,-98676,0,0,0,6166,0,,
2015,15,Mora prolongada,Distrito Federal,No aplica (interno),Mixto,Comercio al por mayor de bebidas y tabaco,Global,Nacional,Agentes Persona Fisica,1,620038,620038,0,68893,33928,0,,
2015,15,Mora prolongada,Distrito Federal,No aplica (interno),Mixto,Fabricacion de otros productos quimicos,Global,Extranjera,Fuerza de Venta Interna o Casa Matriz,1,14285,15363,0,1587,0,0,,
2015,15,Mora prolongada,Estado de Mexico,No aplica (interno),Interno,"Comercio al por menor de combustibles, aceites y grasas lubrica",Global,Nacional,Agentes Persona Fisica,3,226714,199759,0,0,8700,0,,
2015,15,Mora prolongada,Estado de Mexico,No aplica (interno),Interno,"Fabricacion de celulosa, papel y carton",Global,Nacional,Fuerza de Venta Interna o Casa Matriz,1,141535,0,0,0,0,0,,
2015,15,Mora prolongada,Estado de Mexico,No aplica (interno),Interno,Fabricacion de productos de hierro y acero de material comprado,Global,Nacional,Agentes Persona Fisica,1,5081,0,0,0,0,0,,
2015,15,Mora prolongada,Estado de Mexico,No aplica (interno),Mixto,Fabricacion de otros productos quimicos,Global,Extranjera,Fuerza de Venta Interna o Casa Matriz,1,200600,226756,0,22288,0,0,,
2015,15,Mora prolongada,Guanajuato,No aplica (interno),Interno,"Comercio al por menor de combustibles, aceites y grasas lubrica",Global,Nacional,Agentes Persona Fisica,1,-456542,0,0,0,0,0,,
2015,15,Mora prolongada,Hidalgo,No aplica (interno),Mixto,"Fabricacion de celulosa, papel y carton",Global,Extranjera,Agentes Persona Moral,1,-2964,0,0,0,0,0,,
2015,15,Mora prolongada,Jalisco,No aplica (interno),Interno,"Comercio al por menor de combustibles, aceites y grasas lubrica",Global,Nacional,Agentes Persona Fisica,1,0,0,0,0,326030,0,,
2015,15,Mora prolongada,Nuevo Leon,No aplica (interno),Mixto,Otras industrias alimentarias,Global,Nacional,Agentes Persona Moral,1,55637,0,0,0,0,0,,
2015,15,Mora prolongada,Oaxaca,No aplica (interno),Mixto,Otras industrias alimentarias,Global,Nacional,Agentes Persona Moral,1,54478,0,0,0,0,0,,
2015,15,Mora prolongada,Tamaulipas,No aplica (interno),Interno,Industria del tabaco,Global,Nacional,Agentes Persona Moral,1,2942421,2942421,0,326935,0,0,,
2015,15,Mora prolongada,Yucatan,No aplica (interno),Mixto,Otras industrias alimentarias,Global,Nacional,Agentes Persona Moral,1,200664,0,0,0,0,0,,
2015,16,Mora prolongada,Distrito Federal,No aplica (interno),Interno,Fabricacion de otros equipos y accesorios electricos,Global,Nacional,Fuerza de Venta Interna o Casa Matriz,1,853254,853254,0,94806,0,180000,,
2015,16,Mora prolongada,Guerrero,No aplica (interno),Mixto,Otras industrias alimentarias,Global,Nacional,Agentes Persona Moral,1,-59457,0,0,0,0,0,,
2015,16,Mora prolongada,Nuevo Leon,No aplica (interno),Interno,"Comercio al por menor de combustibles, aceites y grasas lubrica",Global,Nacional,Agentes Persona Fisica,1,0,0,0,0,10952,0,,
2015,17,Mora prolongada,Distrito Federal,No aplica (interno),Interno,"Comercio al por menor de combustibles, aceites y grasas lubrica",Global,Nacional,Agentes Persona Fisica,1,0,0,0,0,8317,0,,
2015,17,Mora prolongada,Puebla,No aplica (interno),Interno,Otro producto al Comercio al por mayor,Global,Nacional,Fuerza de Venta Interna o Casa Matriz,1,0,0,0,0,1569,0,,
2015,18,Mora prolongada,Distrito Federal,No aplica (interno),Interno,Otro producto al Comercio al por mayor,Global,Nacional,Fuerza de Venta Interna o Casa Matriz,1,4864,4864,0,540,0,0,,
